Date,Open,High,Low,Close,Volume
2021-01-18,28238,28348,28111,28242,581759100.0
2021-01-19,28405,28720,28376,28633,697918000.0
2021-01-20,28798,28800,28404,28523,676615600.0
2021-01-21,28710,28844,28677,28756,669452400.0
2021-01-22,28580,28697,28528,28631,573489700.0
2021-01-25,28698,28822,28566,28822,634874700.0
2021-01-26,28696,28740,28527,28546,690156300.0
2021-01-27,28665,28752,28542,28635,1239280100.0
2021-01-28,28169,28360,27981,28197,917379400.0
2021-01-29,28320,28320,27629,27663,656888900.0
2021-02-01,27649,28103,27649,28091,675372500.0
2021-02-02,28207,28376,28093,28362,839840700.0
2021-02-03,28482,28669,28402,28646,810883900.0
2021-02-04,28557,28597,28326,28341,931939900.0
2021-02-05,28631,28784,28549,28779,935735400.0
2021-02-08,28831,29397,28817,29388,868787900.0
2021-02-09,29435,29585,29352,29505,811098400.0
2021-02-10,29412,29562,29368,29562,797949300.0
2021-02-12,29635,29645,29418,29520,703364500.0
2021-02-15,29662,30090,29662,30084,812595300.0
2021-02-16,30229,30714,30192,30467,747806100.0
2021-02-17,30366,30398,30191,30292,779349200.0
2021-02-18,30311,30560,30140,30236,637493100.0
2021-02-19,29970,30169,29847,30017,628040000.0
2021-02-22,30281,30456,30089,30156,792896100.0
2021-02-24,30020,30088,29671,29671,700550100.0
2021-02-25,30077,30213,30044,30168,929340100.0
2021-02-26,29753,29760,28966,28966,626605000.0
2021-03-01,28966,29686,28966,29663,701345200.0
2021-03-02,29939,29994,29318,29408,688117300.0
2021-03-03,29482,29604,29336,29559,751881400.0
2021-03-04,29198,29277,28711,28930,857748600.0
2021-03-05,28725,28864,28309,28864,923781300.0
2021-03-08,29208,29255,28647,28743,967254000.0
2021-03-09,28748,29053,28609,29027,830156300.0
2021-03-10,29118,29233,28961,29036,784576600.0
2021-03-11,29033,29255,28995,29211,966358600.0
2021-03-12,29287,29744,29211,29717,940729400.0
2021-03-15,29804,29884,29673,29766,837534000.0
2021-03-16,29770,30026,29755,29921,746260400.0
2021-03-17,29836,29984,29825,29914,953909900.0
