Date,Open,High,Low,Close,aClose,Volume
2020-11-25,6900,6996,6861,6870,6870,17179500
2020-11-26,6928,7100,6900,7089,7089,16806200
2020-11-27,7155,7289,7123,7250,7250,21511400
2020-11-30,7345,7412,7247,7272,7272,19121700
2020-12-01,7350,7388,7240,7300,7300,16500500
2020-12-02,7330,7346,7208,7255,7255,14637200
2020-12-03,7278,7406,7216,7381,7381,14502100
2020-12-04,7351,7404,7227,7260,7260,13626100
2020-12-07,7300,7310,7120,7123,7123,10179500
2020-12-08,7003,7141,7003,7094,7094,8045500
2020-12-09,7070,7606,7051,7489,7489,31629400
2020-12-10,7450,8900,7436,8306,8306,68384400
2020-12-11,8281,8442,7800,7913,7913,45612000
2020-12-14,8363,8364,8016,8088,8088,25308900
2020-12-15,7991,8169,7950,7999,7999,16765800
2020-12-16,8000,8107,7933,8030,8030,13100000
2020-12-17,8000,8410,7955,8350,8350,22467700
2020-12-18,8400,8502,8331,8354,8354,21645200
2020-12-21,8420,8537,8363,8489,8489,14491200
2020-12-22,8440,8477,8240,8287,8287,14278600
2020-12-23,8320,8374,8075,8075,8075,16096600
2020-12-24,8130,8181,7838,7942,7942,17027600
2020-12-25,7700,7746,7631,7692,7692,13149600
2020-12-28,7601,7954,7566,7706,7706,15953100
2020-12-29,7805,8056,7741,8055,8055,16022000
2020-12-30,8053,8130,7928,8058,8058,15488900
2021-01-04,8100,8165,7951,8008,8008,12201400
2021-01-05,7902,8077,7842,8020,8020,13213000
2021-01-06,8042,8215,8031,8120,8120,13805600
2021-01-07,7980,8032,7908,7993,7993,17531400
2021-01-08,7970,8133,7956,7988,7988,17066400
2021-01-12,7941,8108,7888,8097,8097,13345000
2021-01-13,8126,8465,8116,8325,8325,19372000
2021-01-14,8450,8704,8382,8569,8569,26056100
2021-01-15,8649,8771,8510,8518,8518,17035600
2021-01-18,8420,8578,8350,8503,8503,10198400
2021-01-19,8614,8768,8571,8758,8758,14431100
2021-01-20,8830,8887,8655,8694,8694,16549400
2021-01-21,8829,9039,8790,8946,8946,19181000
2021-01-22,8883,8919,8788,8800,8800,12853300
2021-01-25,8800,8812,8636,8664,8664,10860700
2021-01-26,8591,8722,8562,8665,8665,8939700
2021-01-27,8745,8753,8561,8594,8594,8113400
2021-01-28,8300,8397,8180,8285,8285,16688800
2021-01-29,8390,8410,8106,8108,8108,14133300
2021-02-01,8177,8469,8165,8458,8458,11180200
2021-02-02,8564,8667,8462,8560,8560,11823800
